SpecNo,MaterialCode,MaterialCodeIfs,SupplierName,Revision
CCL-SPEC-QC335,PAPER LINER 100G W/GLS+PE C1S,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC336,JHS-S309L-G,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC337,TS-FR383H T0.38,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC338,BY036-4Z,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC339,3M 897,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC340,SW83G t0.188,,Grand Upward Technology Ltd,R03
CCL-SPEC-QC341,UTP75L-70,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC342,UTP75-7-7,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC343,UTP50-1,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC344,3M 9988EG,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC345,YUPO80(TTR) PAT1E 6K,,Công ty TNHH Lintec Hà Nội Việt Nam,R03
CCL-SPEC-QC346,SY001 PMMA,,"SHENZHEN SHAN LIGHT TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC347,SJ-1051PS,,"SSJ ADVANCED MATERIALS CO., LTD",R03
CCL-SPEC-QC348,SJ-V99W,,"SSJ ADVANCED MATERIALS CO., LTD.",R03
CCL-SPEC-QC349,SJ-2080WKE®,,"SSJ ADVANCED MATERIALS CO., LTD",R03
CCL-SPEC-QC350,SJ-2080WKE,,"SSJ ADVANCED MATERIALS CO., LTD",R03
